timestamp,ue_id,downlink_throughput,uplink_throughput,high_load
4810,3989,14934,13107,0
4820,1449,12588,11941,0
4830,4460,15964,11859,0
4840,9789,15301,13723,0
4850,3430,15022,10075,0
4860,8251,18742,13577,0
4870,5299,14681,10978,0
4880,7795,14186,9524,0
4890,8653,18222,12965,0
4900,1915,16137,9495,0
4910,9902,14907,10188,0
4920,9711,10678,9864,0
4930,3392,13605,10738,0
4940,7994,14101,10956,0
4950,5737,14914,10251,0
4960,4015,12498,11013,0
4970,6877,13890,11284,0
4980,3719,15179,9081,0
4990,5707,14627,11501,0
5000,6773,45660,36984,1
5010,1471,12596,9948,0
5020,3655,12798,9634,0
5030,1210,12582,10465,0
5040,8261,10862,11025,0
5050,2667,14551,11115,0
5060,3090,11974,9839,0
5070,9166,12634,8863,0
5080,5576,11970,9192,0
5090,6840,15851,11014,0
5100,6836,11386,8873,0
5110,9377,13010,8565,0
5120,8719,12185,9098,0
5130,1417,14132,9416,0
5140,5198,14339,9773,0
5150,8193,11382,10209,0
5160,3277,12417,8232,0
5170,1931,10725,10674,0
5180,7773,15815,10550,0
5190,4014,11763,9589,0
5200,9860,11998,10253,0
5210,2975,10005,10590,0
5220,3402,12897,9984,0
5230,3692,11221,8463,0
5240,5113,11001,8362,0
5250,5051,11743,8434,0
5260,3258,14193,8395,0
5270,7745,11363,9499,0
5280,5177,10497,9168,0
5290,8889,13034,8164,0
5300,4049,12570,8475,0
5310,8005,11983,9082,0
5320,6069,12690,7794,0
5330,9530,8580,8586,0
5340,6148,11451,8517,0
5350,7492,11640,8127,0
5360,7961,11529,9482,0
5370,8629,9960,7583,0
5380,3324,12107,7932,0
5390,2234,9727,9438,0
5400,6568,11114,7494,0
5410,2989,11384,8615,0
5420,9742,10713,7163,0
5430,5401,9382,7729,0
5440,6229,11235,7908,0
5450,4677,8651,8011,0
5460,5766,10390,7881,0
5470,7405,11598,8963,0
5480,6762,10552,7824,0
5490,9471,10307,8521,0
5500,9715,11182,8711,0
5510,9146,12541,7853,0
5520,7366,9907,8575,0
5530,5315,9276,6532,0
5540,3574,10145,7302,0
5550,8546,11612,8980,0
5560,9626,9083,7560,0
5570,7892,11148,8365,0
5580,9088,9853,8151,0
5590,8527,11741,7685,0
5600,3645,11257,7954,0
5610,5999,10152,8375,0
5620,3130,9454,7679,0
5630,1560,12369,7359,0
5640,8921,10129,6315,0
5650,3660,8340,7288,0
5660,4617,13632,9273,0
5670,6690,10912,8177,0
5680,1290,9199,8461,0
5690,6735,11546,7434,0
5700,2435,10405,8374,0
5710,1186,9452,6832,0
5720,8654,8486,5662,0
5730,3421,9974,8924,0
5740,8261,9250,8144,0
5750,5263,11818,7244,0
5760,1662,13179,8700,0
5770,5752,11195,7080,0
5780,3737,12662,8089,0
5790,7453,9065,8026,0
5800,3523,11995,8645,0
5810,4690,10578,7214,0
5820,4848,13724,9041,0
5830,1179,10041,8289,0
5840,7724,11003,7825,0
5850,6645,11449,8403,0
5860,3460,12278,9501,0
5870,5032,12280,9206,0
5880,5308,11489,9360,0
5890,4667,13429,9788,0
5900,5837,10081,9106,0
5910,3847,11642,8285,0
5920,1760,12620,9286,0
5930,3012,10987,8764,0
5940,9273,12670,9237,0
5950,5108,14203,8328,0
5960,4866,13940,10818,0
5970,6345,10648,9958,0
5980,3576,14070,10022,0
5990,1481,11323,10824,0
6000,8838,12047,10405,0
6010,2302,14501,10422,0
6020,7258,11820,9359,0
6030,2399,14190,9400,0
6040,7114,14154,10866,0
6050,5580,13798,10466,0
6060,2067,10873,11080,0
6070,2143,12538,9875,0
6080,9547,15317,9900,0
6090,4931,14231,10134,0
6100,8395,16507,9522,0
6110,2879,18781,12940,0
6120,8263,13029,10464,0
6130,8889,11207,10714,0
6140,4684,19582,12793,0
6150,4816,16026,11967,0
6160,8699,17974,11906,0
6170,9575,15462,11381,0
6180,8979,17110,12943,0
6190,6696,15813,13973,0
6200,3067,19812,16150,0
6210,4281,15437,14234,0
6220,6493,19644,15092,0
6230,2308,19660,16008,0
6240,2858,17098,14780,0
6250,9257,22433,15280,0
6260,1544,19899,14402,0
6270,1031,20506,13993,0
6280,5983,17747,14540,0
6290,8039,18801,16439,0
6300,4905,24459,15871,0
6310,6485,16238,15684,0
6320,3502,21548,17960,0
6330,6959,24318,12919,0
6340,4356,20655,12751,0
6350,3081,24575,15238,0
6360,5757,25552,17440,0
6370,4031,23741,18387,0
6380,7017,26682,17544,0
6390,6709,23663,20025,0
6400,5182,21882,17528,0
6410,7329,24277,16930,0
6420,6351,22366,18896,0
6430,1286,22775,16174,0
6440,9689,20853,18376,0
6450,7295,24333,17699,0
6460,5101,19807,24694,0
6470,3497,26995,19774,0
6480,5992,25734,17159,0
6490,2261,29750,20236,0
6500,8357,20903,18596,0
6510,8328,27942,18862,0
6520,6152,24862,21761,0
6530,8551,20240,23348,0
6540,7243,27971,18948,0
6550,3407,27457,21760,0
6560,7639,20209,23950,0
6570,4453,25009,19422,0
6580,6206,26323,23967,0
6590,9222,22895,19155,0
6600,1483,31282,24567,1
6610,4393,31688,20453,1
6620,4805,31101,22958,1
6630,4299,32487,24671,1
6640,4049,28087,19871,0
6650,6740,26775,22391,0
6660,9484,30145,20922,1
6670,9841,30160,21142,1
6680,1029,31018,21515,1
6690,1279,31369,19955,1
6700,1120,24889,20700,0
6710,5854,31606,20773,1
6720,6147,28109,23650,1
6730,2472,32540,19725,1
6740,5014,27237,21251,0
6750,3101,34053,21289,1
6760,6658,30005,21971,1
6770,5186,28122,24009,1
6780,8489,29304,23250,1
6790,1104,23679,21754,0
6800,4446,28221,21246,0
6810,3829,32584,21995,1
6820,2683,29419,22039,1
6830,1991,26502,22021,0
6840,3930,34659,22561,1
6850,4665,29930,19708,0
6860,8778,26292,19504,0
6870,7580,32308,25382,1
6880,4780,32131,20337,1
6890,3316,29223,19663,0
6900,6719,25317,23918,0
6910,7793,29313,22900,1
6920,2082,25941,22583,0
6930,2238,30113,21965,1
6940,8514,30908,20253,1
6950,8766,30084,21217,1
6960,8912,29303,22280,1
6970,6128,27062,23964,1
6980,8984,24936,20836,0
6990,2015,29810,20985,1
7000,5487,35413,23838,1
7010,1467,22667,19301,0
7020,7386,26117,18646,0
7030,4060,29826,25038,1
7040,3584,25644,20096,0
7050,7092,25979,16737,0
7060,1749,27320,22088,0
7070,5059,25157,19838,0
7080,4971,33183,25022,1
7090,8523,28534,18403,0
7100,8645,26698,23984,1
7110,3640,26896,18840,0
7120,7841,26823,18006,0
7130,9922,28000,18421,0
7140,5201,28099,21344,0
7150,5006,28988,19769,0
7160,3769,30664,20226,1
7170,1824,26520,18207,0
7180,8000,29395,21733,1
7190,8153,29698,18058,0
7200,3571,24564,22680,0
7210,5068,25399,22659,0
7220,1905,33402,19839,1
7230,2882,24137,18383,0
7240,6408,29316,20186,0
7250,2723,28196,19623,0
7260,7905,28559,19376,0
7270,9065,28297,19557,0
7280,5344,25804,19039,0
7290,2648,28072,19350,0
7300,6918,26130,19302,0
7310,3445,28872,22598,1
7320,1275,30349,20160,1
7330,5639,24375,18284,0
7340,5919,24763,20746,0
7350,5198,25046,18599,0
7360,8191,22104,19653,0
7370,9983,29433,22691,1
7380,3319,21860,18425,0
7390,6728,31063,18649,0
7400,4280,34740,19923,1
7410,9216,27168,15876,0
7420,5236,28495,21276,0
7430,9729,20879,18292,0
7440,3834,27961,22065,0
7450,1840,29037,16155,0
7460,1638,26469,18202,0
7470,2554,22507,15618,0
7480,1593,28253,18773,0
7490,9514,23693,21937,0
7500,3154,24786,18773,0
7510,4791,31106,22295,1
7520,4038,29972,20715,1
7530,8677,26200,16794,0
7540,1179,27739,20165,0
7550,1116,27763,21183,0
7560,9436,25408,20894,0
7570,4953,25131,22083,0
7580,4471,28175,19247,0
7590,5520,30276,18357,0
7600,6793,32119,19983,1
7610,8466,23004,18962,0
7620,9247,27913,23248,1
7630,7003,24632,19245,0
7640,1558,21619,15756,0
7650,8872,28159,17383,0
7660,8933,24841,17628,0
7670,8252,25106,17807,0
7680,6255,24685,15125,0
7690,3584,28212,19944,0
7700,3345,23269,18050,0
7710,5483,25723,21710,0
7720,3038,25129,20044,0
7730,3945,25548,19436,0
7740,8244,27605,18286,0
7750,6827,22869,19172,0
7760,7188,21629,17749,0
7770,6314,24258,18236,0
7780,6962,23962,16994,0
7790,3732,27091,21602,0
7800,7723,25096,18785,0
7810,9574,19705,15930,0
7820,6154,21746,15351,0
7830,2264,21431,18082,0
7840,9803,22570,16340,0
7850,2403,24500,17841,0
7860,5597,23751,16496,0
7870,3978,23227,13346,0
7880,8581,23451,16336,0
7890,9658,24154,17540,0
7900,5985,21993,14100,0
7910,5596,21981,15097,0
7920,3303,17247,14822,0
7930,4162,16561,13111,0
7940,8451,18834,14450,0
7950,6866,21035,12950,0
7960,2000,19852,14251,0
7970,9243,22983,16036,0
7980,2945,20809,13260,0
7990,3993,16533,11460,0
8000,6056,18072,14083,0
8010,5977,16437,13427,0
8020,2608,17257,13923,0
8030,7864,17933,11829,0
8040,7070,16716,13822,0
8050,2288,13215,12039,0
8060,3835,15705,12750,0
8070,6432,19098,12036,0
8080,9748,16832,12860,0
8090,1895,15741,13580,0
8100,4385,13270,11323,0
8110,3626,15342,9496,0
8120,7297,18419,12931,0
8130,1422,13163,11344,0
8140,1788,10447,10681,0
8150,6651,16021,9605,0
8160,8043,14845,11028,0
8170,9464,13984,10464,0
8180,7041,15322,9920,0
8190,2196,13806,9844,0
8200,1740,12605,9879,0
8210,3584,14548,9386,0
8220,9830,13646,8605,0
8230,8879,13543,10296,0
8240,6076,13475,9838,0
8250,9730,10845,8623,0
8260,5058,10912,10247,0
8270,7220,12439,9334,0
8280,6961,12982,9881,0
8290,3091,12670,9186,0
8300,8042,13235,9848,0
8310,1665,12205,8365,0
8320,5296,10235,9255,0
8330,5242,9711,7891,0
8340,7529,10642,7445,0
8350,3291,9933,6674,0
8360,2035,11359,7620,0
8370,6655,10619,7798,0
8380,7033,7473,7203,0
8390,3928,11515,8586,0
8400,8259,10206,7543,0
8410,4594,10391,7658,0
8420,5668,10579,8358,0
8430,6351,11721,6872,0
8440,7455,9979,7947,0
8450,1989,10349,7875,0
8460,4816,9682,8702,0
8470,1262,9262,7683,0
8480,7630,8513,7317,0
8490,6314,10394,6689,0
8500,4025,9540,6965,0
8510,7766,10543,7369,0
8520,7841,8955,8409,0
8530,8447,9407,7067,0
8540,7053,9935,6847,0
8550,2680,9211,6660,0
8560,9729,11972,7009,0
8570,5113,8420,7217,0
8580,5802,10463,7178,0
8590,4000,11381,6499,0
8600,3649,10161,7725,0
8610,8656,11061,7695,0
8620,1283,8533,8070,0
8630,2579,10514,7402,0
8640,1232,8499,5903,0
8650,1445,8937,6556,0
8660,2117,8381,7130,0
8670,6286,11740,6400,0
8680,1399,9777,7813,0
8690,7731,8493,6142,0
8700,6921,8588,6903,0
8710,7019,10980,8660,0
8720,8930,8439,7316,0
8730,3340,9544,7714,0
8740,6307,10303,6684,0
8750,3420,10230,7474,0
8760,3964,9344,7455,0
8770,8759,10834,7723,0
8780,4161,10731,8123,0
8790,9868,11462,7777,0
8800,5752,10956,8106,0
8810,5536,11895,9949,0
8820,5376,12186,8193,0
8830,3421,9869,8484,0
8840,7987,9054,7110,0
8850,3282,9946,8046,0
8860,4237,11439,7809,0
8870,2854,11780,8418,0
8880,4082,13454,8782,0
8890,6398,9719,8696,0
8900,7633,8823,7933,0
8910,2671,12273,8585,0
8920,2830,10844,9270,0
8930,8529,11345,9133,0
8940,5799,13150,11242,0
8950,1638,14708,10094,0
8960,5021,10822,8213,0
8970,4051,14053,11037,0
8980,4652,13067,9972,0
8990,8436,15949,10936,0
9000,6923,13370,10010,0
9010,4824,11317,10706,0
9020,7359,16971,9944,0
9030,4678,14477,9711,0
9040,1644,14431,9559,0
9050,6958,14868,11235,0
9060,2787,14959,11986,0
9070,5471,16429,10123,0
9080,3486,16114,9935,0
9090,6891,14826,13696,0
9100,6623,15786,12519,0
9110,6169,16176,11877,0
9120,2147,15272,12395,0
9130,8421,16091,13347,0
9140,1143,13089,11070,0
9150,7393,16768,12837,0
9160,8375,16282,12992,0
9170,2289,20814,12386,0
9180,8461,17909,14582,0
9190,8698,16362,10665,0
9200,1334,17517,12425,0
9210,3600,13852,12008,0
9220,1412,15602,12026,0
9230,3233,18791,14510,0
9240,3529,16964,13656,0
9250,9034,16469,12696,0
9260,4197,16274,12482,0
9270,6622,19321,14021,0
9280,1870,17059,13388,0
9290,3277,20119,12609,0
9300,3808,18256,12889,0
9310,5832,18297,13683,0
9320,3029,16153,15051,0
9330,3008,16433,14990,0
9340,8182,22041,15415,0
9350,2847,19944,13185,0
9360,5177,17497,14912,0
9370,1156,17711,14543,0
9380,1594,19066,18153,0
9390,2046,16958,13932,0
9400,1599,24340,16618,0
9410,8196,15214,15772,0
9420,5366,21196,16779,0
9430,3250,16869,10989,0
9440,5221,22711,16669,0
9450,3352,17492,14364,0
9460,3257,20872,16091,0
9470,7980,22337,15383,0
9480,9400,22084,14594,0
9490,9103,23151,12363,0
9500,8929,18603,13858,0
9510,2633,21296,18708,0
9520,5562,20210,19095,0
9530,2420,18371,15226,0
9540,7276,19087,15334,0
9550,4739,22557,15067,0
9560,4656,24278,17852,0
9570,2063,20178,18919,0
9580,3304,21742,15993,0
9590,2952,21703,16594,0
9600,8598,18838,15426,0
9610,6306,21041,15914,0
9620,2502,24580,19204,0
9630,8381,22257,14488,0
9640,9204,21215,14765,0
9650,3094,22001,16820,0
9660,4287,23959,18179,0
9670,2088,20297,17993,0
9680,2293,19920,15820,0
9690,2490,21921,13284,0
9700,2556,23361,15652,0
9710,5257,25033,18765,0
9720,5822,26437,17877,0
9730,8759,22278,15762,0
9740,4659,24121,14827,0
9750,2304,24867,17565,0
9760,8779,23790,17922,0
9770,9040,16132,14896,0
9780,8188,21933,16781,0
9790,1311,24175,20588,0
9800,9375,21781,18959,0
9810,6937,23578,15527,0
9820,9987,25662,19224,0
9830,9420,24370,18733,0
9840,7631,20800,21920,0
9850,7077,25115,17404,0
9860,5033,26625,17017,0
9870,5830,26199,19114,0
9880,9995,22267,17599,0
9890,3023,26453,18188,0
9900,6951,27577,16753,0
9910,3137,24806,17541,0
9920,9065,25297,17011,0
9930,2075,21632,20377,0
9940,2105,28623,25486,1
9950,8568,25693,19543,0
9960,4003,33474,20758,1
9970,7650,29034,20124,0
9980,2387,20623,16299,0
9990,8091,27557,23611,1
10000,5276,93846,54609,1
10010,7277,26162,18652,0
